,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
168,Mê Cung Của Pan,"Drama, Fantasy, War            ",2006,118,8.2,98,"679,978"
169,Chiến Binh Quyền Anh,"Action, Drama, Sport            ",2011,140,8.2,71,"481,134"
170,Chén Thánh Phiêu Lưu Ký,"Adventure, Comedy, Fantasy            ",1975,91,8.2,91,"550,958"
171,Some Like It Hot,"Comedy, Music, Romance            ",1959,121,8.2,98,"272,678"
172,Thanh Gươm Diệt Quỷ: Chuyến Tàu Vô Tận,"Animation, Action, Adventure            ",2020,117,8.2,72,"63,767"
173,Bí Mật Sau Ánh Mắt,"Drama, Mystery, Romance            ",2009,129,8.2,80,"213,763"
174,Người Voi,"Biography, Drama            ",1980,124,8.2,78,"247,360"
175,Cuộc Đào Thoát Vĩ Đại,"Adventure, Drama, History            ",1963,172,8.2,86,"249,126"
176,All About Eve,Drama            ,1950,138,8.2,98,"133,849"
177,Kho Báu Ở Sierra Madre,"Adventure, Drama, Western            ",1948,126,8.2,98,"127,714"
178,Lãnh Chúa Hidetora,"Action, Drama, War            ",1985,162,8.2,97,"128,832"
179,Tumbbad,"Drama, Fantasy, Horror            ",2018,104,8.2,^^^^^^,"52,678"
180,Drishyam 2,"Crime, Drama, Mystery            ",2022,140,8.2,^^^^^^,"36,387"
181,Thêm Vài Đồng Xu Lẻ,"Drama, Western            ",1965,132,8.2,74,"262,320"
182,Miracle in Cell No. 7,Drama            ,2019,132,8.2,^^^^^^,"51,477"
183,Cuộc Gọi Chết Người,"Crime, Thriller            ",1954,105,8.2,75,"180,241"
184,Klaus - Câu Chuyện Giáng Sinh,"Animation, Adventure, Comedy            ",2019,96,8.2,65,"165,568"
185,Gangs of Wasseypur,"Action, Comedy, Crime            ",2012,321,8.2,89,"99,158"
186,Lã Sinh Môn,"Crime, Drama, Mystery            ",1950,88,8.2,98,"172,408"
187,Yôjinbô,"Action, Drama, Thriller            ",1961,110,8.2,93,"125,655"
188,Câu Chuyện Tokyo,Drama            ,1953,136,8.2,100,"63,942"
189,Pather Panchali,Drama            ,1955,125,8.2,^^^^^^,"34,883"
190,Drishyam,"Crime, Drama, Mystery            ",2015,163,8.2,^^^^^^,"88,283"
191,Andhadhun,"Crime, Mystery, Thriller            ",2018,139,8.2,^^^^^^,"96,889"
192,Z,"Crime, Drama, Thriller            ",1969,127,8.2,86,"29,925"
193,Sống Chỉ Một Lần,"Comedy, Drama, Musical            ",2011,155,8.2,^^^^^^,"81,182"
194,Những Đứa Trẻ Thiên Đường,"Drama, Family, Sport            ",1997,89,8.2,77,"76,559"
195,Dersu Uzala,"Adventure, Biography, Drama            ",1975,142,8.2,^^^^^^,"31,780"
196,Le salaire de la peur,"Adventure, Drama, Thriller            ",1953,131,8.2,85,"63,045"
197,To Be or Not to Be,"Comedy, Romance, War            ",1942,99,8.2,86,"39,527"
198,K.G.F: Chapter 1,"Action, Crime, Drama            ",2018,156,8.2,^^^^^^,"91,301"
199,Vikram Vedha,"Action, Crime, Drama            ",2017,147,8.2,^^^^^^,"47,431"
200,Baahubali 2: The Conclusion,"Action, Drama            ",2017,167,8.2,^^^^^^,"106,399"
201,Bài Ca Khổ Hình Của Joan of Arc,"Biography, Drama, History            ",1928,110,8.2,98,"57,144"
202,Cha Và Con Của Tôi,"Drama, Family            ",2005,112,8.2,^^^^^^,"88,086"
203,Sherlock Jr.,"Action, Comedy, Romance            ",1924,45,8.2,^^^^^^,"52,242"
204,"Swades: We, the People","Drama, Musical            ",2004,210,8.2,^^^^^^,"93,496"
205,Uri: The Surgical Strike,"Action, Drama, History            ",2019,138,8.2,^^^^^^,"66,858"
206,Rangasthalam,"Action, Drama            ",2018,170,8.2,^^^^^^,"26,089"
207,Umberto D.,Drama            ,1952,89,8.2,92,"26,758"
208,Paan Singh Tomar,"Action, Biography, Crime            ",2012,135,8.2,^^^^^^,"37,006"
209,Bhaag Milkha Bhaag,"Biography, Drama, Sport            ",2013,186,8.2,^^^^^^,"69,697"
210,Lần Theo Dấu Vết,"Crime, Drama, Mystery            ",2013,153,8.1,70,"743,173"
211,Cuộc Đua Lịch Sử,"Action, Biography, Drama            ",2019,152,8.1,81,"416,107"
212,Khách Sạn Đế Vương,"Adventure, Comedy, Crime            ",2014,99,8.1,88,"836,179"
213,Max Điên: Con Đường Tử Thần,"Action, Adventure, Sci-Fi            ",2015,120,8.1,90,"1,027,650"
214,The Exorcist,Horror            ,1973,122,8.1,81,"420,199"
215,Tội Phạm Nhân Bản,"Action, Drama, Sci-Fi            ",1982,117,8.1,84,"786,364"
216,Phù Thủy Xứ Oz,"Adventure, Family, Fantasy            ",1939,102,8.1,92,"409,592"
217,Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,"Action, Adventure, Fantasy            ",2003,143,8.1,63,"1,151,205"
218,Cô Gái Mất Tích,"Drama, Mystery, Thriller            ",2014,149,8.1,79,"1,006,454"
219,Người Hùng Không Súng,"Biography, Drama, History            ",2016,139,8.1,71,"547,684"
220,Stand by Me,"Adventure, Drama            ",1986,89,8.1,75,"416,398"
221,Bá Tước Lebowski,"Comedy, Crime            ",1998,117,8.1,71,"825,696"
222,Người Giúp Việc,Drama            ,2011,146,8.1,62,"471,492"
223,Hãy Bắt Tôi Nếu Có Thể,"Biography, Crime, Drama            ",2002,141,8.1,75,"1,017,917"
224,Người Hầu Gái,"Drama, Romance, Thriller            ",2016,145,8.1,84,"156,366"
225,Hàm Cá Mập,"Adventure, Mystery, Thriller            ",1975,124,8.1,87,"622,240"
226,Kẻ Hủy Diệt,"Action, Sci-Fi            ",1984,107,8.1,84,"883,680"
227,Logan: Người Sói,"Action, Drama, Sci-Fi            ",2017,137,8.1,77,"785,312"
228,Chú Chuột Đầu Bếp,"Animation, Adventure, Comedy            ",2007,111,8.1,96,"763,730"
229,Three Billboards: Truy Tìm Công Lý,"Comedy, Crime, Drama            ",2017,115,8.1,88,"524,786"
230,Harry Potter và Bảo Bối Tử Thần: Phần 2,"Adventure, Family, Fantasy            ",2011,130,8.1,85,"898,447"
231,Hội Cố Thi Nhân,"Comedy, Drama            ",1989,128,8.1,79,"508,255"
232,Thị Trấn Fargo,"Crime, Thriller            ",1996,98,8.1,86,"691,525"
233,Tay Đấm Huyền Thoại,"Drama, Sport            ",1976,120,8.1,70,"596,961"
234,Về Với Thiên Nhiên,"Adventure, Biography, Drama            ",2007,148,8.1,73,"634,172"
235,Những Mảnh Ghép Cảm Xúc,"Animation, Adventure, Comedy            ",I 2015,95,8.1,94,"734,269"
236,Băng Đảng Người Anh,"Action, Comedy, Crime            ",1998,107,8.1,66,"594,163"
237,Tiêu Điểm,"Biography, Crime, Drama            ",I 2015,129,8.1,93,"481,289"
238,Lối Sống Đồi Trụy,Drama            ,1996,93,8.1,83,"700,029"
239,Trung Đội,"Drama, War            ",1986,120,8.1,92,"422,657"
240,Million Dollar Baby,"Drama, Sport            ",2004,132,8.1,86,"699,037"
241,Công Ty Quái Vật,"Animation, Adventure, Comedy            ",2001,92,8.1,79,"929,992"
242,Bí Kíp Luyện Rồng,"Animation, Action, Adventure            ",2010,98,8.1,75,"759,470"
243,Before Sunrise,"Drama, Romance            ",1995,101,8.1,77,"319,527"
244,Hồi Ức Kẻ Sát Nhân,"Crime, Drama, Mystery            ",2003,131,8.1,82,"194,980"
245,Room,"Drama, Thriller            ",I 2015,118,8.1,86,"430,922"
246,Đường Đua Nghẹt Thở,"Action, Biography, Drama            ",I 2013,123,8.1,74,"490,159"
247,Kẻ Săn Hươu,"Drama, War            ",1978,183,8.1,86,"346,164"
248,Giai Điệu Hạnh Phúc,"Biography, Drama, Family            ",1965,172,8.1,63,"244,051"
249,Barry Lyndon,"Adventure, Drama, War            ",1975,185,8.1,89,"173,353"
250,12 Năm Nô Lệ,"Biography, Drama, History            ",2013,134,8.1,96,"714,626"
251,Ngọt Và Đắng,Drama            ,2008,116,8.1,72,"788,393"
252,Bò Đực Nổi Điên,"Biography, Drama, Sport            ",1980,129,8.1,90,"362,406"
